release_date,release_date_int,release_date_text,year,month,day
10/24/2002,20021024,2002#24#10,2002,10,24
5/24/1991,19910524,1991#24#05,1991,5,24
9/9/2010,20100909,2010#09#09,2010,9,9
6/22/2006,20060622,2006#22#06,2006,6,22
2/20/1997,19970220,1997#20#02,1997,2,20
10/6/2006,20061006,2006#06#10,2006,10,6
11/24/2028,20281124,2028#24#11,2028,11,24
6/22/2008,20080622,2008#22#06,2008,6,22
3/14/2014,20140314,2014#14#03,2014,3,14
3/8/1996,19960308,1996#08#03,1996,3,8
5/17/2012,20120517,2012#17#05,2012,5,17
7/1/2016,20160701,2016#01#07,2016,7,1
9/7/1983,19830907,1983#07#09,1983,9,7
10/10/2009,20091010,2009#10#10,2009,10,10
10/1/2008,20081001,2008#01#10,2008,10,1
12/2/1988,19881202,1988#02#12,1988,12,2
4/19/2006,20060419,2006#19#04,2006,4,19
4/7/2000,20000407,2000#07#04,2000,4,7
9/12/2014,20140912,2014#12#09,2014,9,12
12/15/2006,20061215,2006#15#12,2006,12,15
9/8/1988,19880908,1988#08#09,1988,9,8
10/30/2013,20131030,2013#30#10,2013,10,30
7/25/2007,20070725,2007#25#07,2007,7,25
11/15/1985,19851115,1985#15#11,1985,11,15
9/17/2015,20150917,2015#17#09,2015,9,17
5/8/1992,19920508,1992#08#05,1992,5,8
6/30/1995,19950630,1995#30#06,1995,6,30
4/22/1994,19940422,1994#22#04,1994,4,22
3/5/2004,20040305,2004#05#03,2004,3,5
12/25/1997,19971225,1997#25#12,1997,12,25
6/18/1975,19750618,1975#18#06,1975,6,18
8/27/1993,19930827,1993#27#08,1993,8,27
6/1/2012,20120601,2012#01#06,2012,6,1
9/1/2012,20120901,2012#01#09,2012,9,1
2/7/2013,20130207,2013#07#02,2013,2,7
8/8/2014,20140808,2014#08#08,2014,8,8
6/25/1981,19810625,1981#25#06,1981,6,25
8/22/1980,19800822,1980#22#08,1980,8,22
7/9/2004,20040709,2004#09#07,2004,7,9
4/22/2009,20090422,2009#22#04,2009,4,22
11/13/1992,19921113,1992#13#11,1992,11,13
6/4/2010,20100604,2010#04#06,2010,6,4
3/20/1992,19920320,1992#20#03,1992,3,20
5/1/2016,20160501,2016#01#05,2016,5,1
3/22/2003,20030322,2003#22#03,2003,3,22
2/24/2011,20110224,2011#24#02,2011,2,24
10/29/2009,20091029,2009#29#10,2009,10,29
6/17/1969,19690617,1969#17#06,1969,6,17
3/31/1995,19950331,1995#31#03,1995,3,31
6/16/2004,20040616,2004#16#06,2004,6,16
10/8/1993,19931008,1993#08#10,1993,10,8
10/4/2013,20131004,2013#04#10,2013,10,4
2/4/2009,20090204,2009#04#02,2009,2,4
10/15/2016,20161015,2016#15#10,2016,10,15
2/9/2007,20070209,2007#09#02,2007,2,9
8/16/1996,19960816,1996#16#08,1996,8,16
9/14/1978,19780914,1978#14#09,1978,9,14
7/12/1990,19900712,1990#12#07,1990,7,12
12/13/2002,20021213,2002#13#12,2002,12,13
10/8/1997,19971008,1997#08#10,1997,10,8
6/13/2013,20130613,2013#13#06,2013,6,13
8/1/2009,20090801,2009#01#08,2009,8,1
11/2/1995,19951102,1995#02#11,1995,11,2
4/26/1979,19790426,1979#26#04,1979,4,26
10/16/2008,20081016,2008#16#10,2008,10,16
7/29/1994,19940729,1994#29#07,1994,7,29
9/8/2004,20040908,2004#08#09,2004,9,8
6/7/2001,20010607,2001#07#06,2001,6,7
10/6/1978,19781006,1978#06#10,1978,10,6
2/7/2001,20010207,2001#07#02,2001,2,7
12/22/1995,19951222,1995#22#12,1995,12,22
2/27/2004,20040227,2004#27#02,2004,2,27
11/29/2012,20121129,2012#29#11,2012,11,29
9/5/2012,20120905,2012#05#09,2012,9,5
9/6/2013,20130906,2013#06#09,2013,9,6
9/10/2015,20150910,2015#10#09,2015,9,10
11/15/1956,19561115,1956#15#11,1956,11,15
11/18/1995,19951118,1995#18#11,1995,11,18
9/12/1998,19980912,1998#12#09,1998,9,12
9/2/1988,19880902,1988#02#09,1988,9,2
4/28/2006,20060428,2006#28#04,2006,4,28
12/11/2010,20101211,2010#11#12,2010,12,11
11/12/1987,19871112,1987#12#11,1987,11,12
5/14/2004,20040514,2004#14#05,2004,5,14
12/16/2002,20021216,2002#16#12,2002,12,16
9/11/2007,20070911,2007#11#09,2007,9,11
9/13/1994,19940913,1994#13#09,1994,9,13
7/21/2006,20060721,2006#21#07,2006,7,21
9/7/2007,20070907,2007#07#09,2007,9,7
3/25/2011,20110325,2011#25#03,2011,3,25
8/4/2006,20060804,2006#04#08,2006,8,4
10/5/1990,19901005,1990#05#10,1990,10,5
6/4/2010,20100604,2010#04#06,2010,6,4
12/17/1998,19981217,1998#17#12,1998,12,17
5/24/2013,20130524,2013#24#05,2013,5,24
1/16/2009,20090116,2009#16#01,2009,1,16
6/12/1998,19980612,1998#12#06,1998,6,12
9/23/2016,20160923,2016#23#09,2016,9,23
8/4/2004,20040804,2004#04#08,2004,8,4
10/22/1999,19991022,1999#22#10,1999,10,22
4/12/2012,20120412,2012#12#04,2012,4,12
10/30/1998,19981030,1998#30#10,1998,10,30
1/19/2008,20080119,2008#19#01,2008,1,19
9/20/2012,20120920,2012#20#09,2012,9,20
3/1/1996,19960301,1996#01#03,1996,3,1
11/15/2016,20161115,2016#15#11,2016,11,15
10/14/1994,19941014,1994#14#10,1994,10,14
1/31/2003,20030131,2003#31#01,2003,1,31
3/30/1994,19940330,1994#30#03,1994,3,30
3/9/1994,19940309,1994#09#03,1994,3,9
3/9/2007,20070309,2007#09#03,2007,3,9
12/25/2014,20141225,2014#25#12,2014,12,25
5/1/1997,19970501,1997#01#05,1997,5,1
11/18/2015,20151118,2015#18#11,2015,11,18
4/23/2009,20090423,2009#23#04,2009,4,23
2/22/2002,20020222,2002#22#02,2002,2,22
2/28/2003,20030228,2003#28#02,2003,2,28
2/22/1991,19910222,1991#22#02,1991,2,22
11/21/1991,19911121,1991#21#11,1991,11,21
1/19/1990,19900119,1990#19#01,1990,1,19
10/6/1933,19331006,1933#06#10,1933,10,6
9/13/2005,20050913,2005#13#09,2005,9,13
6/4/1993,19930604,1993#04#06,1993,6,4
1/22/1988,19880122,1988#22#01,1988,1,22
12/14/2002,20021214,2002#14#12,2002,12,14
10/16/2009,20091016,2009#16#10,2009,10,16
12/25/2016,20161225,2016#25#12,2016,12,25
6/15/2004,20040615,2004#15#06,2004,6,15
8/3/2003,20030803,2003#03#08,2003,8,3
3/25/2009,20090325,2009#25#03,2009,3,25
5/18/2012,20120518,2012#18#05,2012,5,18
9/3/2004,20040903,2004#03#09,2004,9,3
2/10/2001,20010210,2001#10#02,2001,2,10
6/15/2017,20170615,2017#15#06,2017,6,15
1/30/2008,20080130,2008#30#01,2008,1,30
3/12/2012,20120312,2012#12#03,2012,3,12
8/7/2013,20130807,2013#07#08,2013,8,7
6/17/2006,20060617,2006#17#06,2006,6,17
2/8/1985,19850208,1985#08#02,1985,2,8
9/6/1986,19860906,1986#06#09,1986,9,6
3/15/2012,20120315,2012#15#03,2012,3,15
12/25/2015,20151225,2015#25#12,2015,12,25
2/5/1999,19990205,1999#05#02,1999,2,5
8/7/1987,19870807,1987#07#08,1987,8,7
6/22/1998,19980622,1998#22#06,1998,6,22
9/20/1996,19960920,1996#20#09,1996,9,20
7/27/2011,20110727,2011#27#07,2011,7,27
12/22/2010,20101222,2010#22#12,2010,12,22
11/16/2006,20061116,2006#16#11,2006,11,16
3/25/1982,19820325,1982#25#03,1982,3,25
12/18/2009,20091218,2009#18#12,2009,12,18
9/7/2007,20070907,2007#07#09,2007,9,7
12/21/1949,19491221,1949#21#12,1949,12,21
5/5/2003,20030505,2003#05#05,2003,5,5
5/9/2014,20140509,2014#09#05,2014,5,9
5/29/2013,20130529,2013#29#05,2013,5,29
11/13/2010,20101113,2010#13#11,2010,11,13
6/6/2005,20050606,2005#06#06,2005,6,6
1/27/1970,19700127,1970#27#01,1970,1,27
9/26/2014,20140926,2014#26#09,2014,9,26
10/3/1997,19971003,1997#03#10,1997,10,3
4/29/2005,20050429,2005#29#04,2005,4,29
6/10/1982,19820610,1982#10#06,1982,6,10
1/15/2014,20140115,2014#15#01,2014,1,15
7/8/1988,19880708,1988#08#07,1988,7,8
12/6/2016,20161206,2016#06#12,2016,12,6
10/16/1996,19961016,1996#16#10,1996,10,16
3/11/1984,19840311,1984#11#03,1984,3,11
12/8/2004,20041208,2004#08#12,2004,12,8
9/29/2016,20160929,2016#29#09,2016,9,29
12/13/1971,19711213,1971#13#12,1971,12,13
9/28/1984,19840928,1984#28#09,1984,9,28
11/16/2001,20011116,2001#16#11,2001,11,16
12/5/2008,20081205,2008#05#12,2008,12,5
4/14/2017,20170414,2017#14#04,2017,4,14
4/6/2005,20050406,2005#06#04,2005,4,6
6/23/1994,19940623,1994#23#06,1994,6,23
10/23/1998,19981023,1998#23#10,1998,10,23
12/26/2009,20091226,2009#26#12,2009,12,26
11/2/2016,20161102,2016#02#11,2016,11,2
5/28/2010,20100528,2010#28#05,2010,5,28
4/30/2015,20150430,2015#30#04,2015,4,30
5/17/2012,20120517,2012#17#05,2012,5,17
10/28/1999,19991028,1999#28#10,1999,10,28
10/8/2004,20041008,2004#08#10,2004,10,8
4/16/2014,20140416,2014#16#04,2014,4,16
2/1/1999,19990201,1999#01#02,1999,2,1
4/27/2016,20160427,2016#27#04,2016,4,27
1/29/2015,20150129,2015#29#01,2015,1,29
9/1/1988,19880901,1988#01#09,1988,9,1
4/8/2011,20110408,2011#08#04,2011,4,8
11/17/2001,20011117,2001#17#11,2001,11,17
9/13/1985,19850913,1985#13#09,1985,9,13
8/24/1977,19770824,1977#24#08,1977,8,24
5/22/1981,19810522,1981#22#05,1981,5,22
11/20/1998,19981120,1998#20#11,1998,11,20
9/21/1990,19900921,1990#21#09,1990,9,21
3/25/2005,20050325,2005#25#03,2005,3,25
9/13/2015,20150913,2015#13#09,2015,9,13
12/7/2006,20061207,2006#07#12,2006,12,7
4/7/2004,20040407,2004#07#04,2004,4,7
7/8/1993,19930708,1993#08#07,1993,7,8
9/6/2012,20120906,2012#06#09,2012,9,6
12/16/1999,19991216,1999#16#12,1999,12,16
3/22/2007,20070322,2007#22#03,2007,3,22
7/30/2010,20100730,2010#30#07,2010,7,30
12/6/1991,19911206,1991#06#12,1991,12,6
11/4/2011,20111104,2011#04#11,2011,11,4
4/11/2003,20030411,2003#11#04,2003,4,11
12/22/2012,20121222,2012#22#12,2012,12,22
4/12/2017,20170412,2017#12#04,2017,4,12
8/17/2016,20160817,2016#17#08,2016,8,17
11/15/1996,19961115,1996#15#11,1996,11,15
6/19/1981,19810619,1981#19#06,1981,6,19
1/18/2008,20080118,2008#18#01,2008,1,18
7/3/2013,20130703,2013#03#07,2013,7,3
11/10/1989,19891110,1989#10#11,1989,11,10
9/25/1992,19920925,1992#25#09,1992,9,25
4/13/1994,19940413,1994#13#04,1994,4,13
7/21/2005,20050721,2005#21#07,2005,7,21
6/7/2002,20020607,2002#07#06,2002,6,7
10/11/2014,20141011,2014#11#10,2014,10,11
2/9/2013,20130209,2013#09#02,2013,2,9
1/13/1989,19890113,1989#13#01,1989,1,13
10/17/1997,19971017,1997#17#10,1997,10,17
7/10/1992,19920710,1992#10#07,1992,7,10
10/3/1997,19971003,1997#03#10,1997,10,3
2/17/1989,19890217,1989#17#02,1989,2,17
4/9/1993,19930409,1993#09#04,1993,4,9
7/18/1986,19860718,1986#18#07,1986,7,18
7/22/2003,20030722,2003#22#07,2003,7,22
2/7/2013,20130207,2013#07#02,2013,2,7
12/14/2006,20061214,2006#14#12,2006,12,14
5/15/2012,20120515,2012#15#05,2012,5,15
6/18/1999,19990618,1999#18#06,1999,6,18
9/13/2008,20080913,2008#13#09,2008,9,13
8/8/1985,19850808,1985#08#08,1985,8,8
8/20/2003,20030820,2003#20#08,2003,8,20
2/26/2010,20100226,2010#26#02,2010,2,26
5/11/2011,20110511,2011#11#05,2011,5,11
5/23/1986,19860523,1986#23#05,1986,5,23
10/16/2009,20091016,2009#16#10,2009,10,16
3/9/2012,20120309,2012#09#03,2012,3,9
11/16/2007,20071116,2007#16#11,2007,11,16
7/2/2012,20120702,2012#02#07,2012,7,2
8/8/2007,20070808,2007#08#08,2007,8,8
7/2/2009,20090702,2009#02#07,2009,7,2
1/1/1977,19770101,1977#01#01,1977,1,1
10/19/2006,20061019,2006#19#10,2006,10,19
3/30/2016,20160330,2016#30#03,2016,3,30
1/22/2004,20040122,2004#22#01,2004,1,22
9/25/2000,20000925,2000#25#09,2000,9,25
3/1/2001,20010301,2001#01#03,2001,3,1
10/15/2006,20061015,2006#15#10,2006,10,15
7/10/1987,19870710,1987#10#07,1987,7,10
1/18/2014,20140118,2014#18#01,2014,1,18
4/6/2003,20030406,2003#06#04,2003,4,6
6/15/1988,19880615,1988#15#06,1988,6,15
9/1/2016,20160901,2016#01#09,2016,9,1
3/5/2014,20140305,2014#05#03,2014,3,5
10/23/2015,20151023,2015#23#10,2015,10,23
10/3/1997,19971003,1997#03#10,1997,10,3
2/15/1985,19850215,1985#15#02,1985,2,15
10/19/2016,20161019,2016#19#10,2016,10,19
10/21/1988,19881021,1988#21#10,1988,10,21
10/1/2009,20091001,2009#01#10,2009,10,1
7/18/1995,19950718,1995#18#07,1995,7,18
7/25/1997,19970725,1997#25#07,1997,7,25
5/15/2005,20050515,2005#15#05,2005,5,15
1/9/2004,20040109,2004#09#01,2004,1,9
1/22/2016,20160122,2016#22#01,2016,1,22
9/26/2014,20140926,2014#26#09,2014,9,26
9/11/1992,19920911,1992#11#09,1992,9,11
9/23/1988,19880923,1988#23#09,1988,9,23
8/16/2007,20070816,2007#16#08,2007,8,16
4/12/1940,19400412,1940#12#04,1940,4,12
9/11/1992,19920911,1992#11#09,1992,9,11
3/23/2016,20160323,2016#23#03,2016,3,23
8/25/1995,19950825,1995#25#08,1995,8,25
2/6/1986,19860206,1986#06#02,1986,2,6
9/28/2007,20070928,2007#28#09,2007,9,28
7/11/1997,19970711,1997#11#07,1997,7,11
7/31/1989,19890731,1989#31#07,1989,7,31
4/27/1990,19900427,1990#27#04,1990,4,27
10/23/1987,19871023,1987#23#10,1987,10,23
5/28/1982,19820528,1982#28#05,1982,5,28
9/21/2007,20070921,2007#21#09,2007,9,21
4/3/2013,20130403,2013#03#04,2013,4,3
6/18/1986,19860618,1986#18#06,1986,6,18
9/12/2003,20030912,2003#12#09,2003,9,12
6/5/2009,20090605,2009#05#06,2009,6,5
2/8/1991,19910208,1991#08#02,1991,2,8
10/14/2001,20011014,2001#14#10,2001,10,14
3/18/2010,20100318,2010#18#03,2010,3,18
8/3/2012,20120803,2012#03#08,2012,8,3
3/13/1992,19920313,1992#13#03,1992,3,13
4/5/2016,20160405,2016#05#04,2016,4,5
10/13/2006,20061013,2006#13#10,2006,10,13
8/13/1993,19930813,1993#13#08,1993,8,13
2/9/1954,19540209,1954#09#02,1954,2,9
1/16/2009,20090116,2009#16#01,2009,1,16
10/19/2001,20011019,2001#19#10,2001,10,19
9/18/2015,20150918,2015#18#09,2015,9,18
8/6/1993,19930806,1993#06#08,1993,8,6
9/10/2010,20100910,2010#10#09,2010,9,10
5/14/1998,19980514,1998#14#05,1998,5,14
3/16/2006,20060316,2006#16#03,2006,3,16
7/17/2014,20140717,2014#17#07,2014,7,17
4/5/1991,19910405,1991#05#04,1991,4,5
2/9/2009,20090209,2009#09#02,2009,2,9
10/22/2007,20071022,2007#22#10,2007,10,22
11/8/2012,20121108,2012#08#11,2012,11,8
6/20/1985,19850620,1985#20#06,1985,6,20
10/10/2009,20091010,2009#10#10,2009,10,10
10/10/1997,19971010,1997#10#10,1997,10,10
4/21/2017,20170421,2017#21#04,2017,4,21
11/5/1992,19921105,1992#05#11,1992,11,5
9/9/2006,20060909,2006#09#09,2006,9,9
9/21/2015,20150921,2015#21#09,2015,9,21
9/10/1969,19690910,1969#10#09,1969,9,10
10/6/2005,20051006,2005#06#10,2005,10,6
4/9/2015,20150409,2015#09#04,2015,4,9
9/15/1995,19950915,1995#15#09,1995,9,15
5/30/1957,19570530,1957#30#05,1957,5,30
11/2/2011,20111102,2011#02#11,2011,11,2
10/17/2008,20081017,2008#17#10,2008,10,17
3/6/1998,19980306,1998#06#03,1998,3,6
7/10/1998,19980710,1998#10#07,1998,7,10
12/4/2014,20141204,2014#04#12,2014,12,4
6/22/1954,19540622,1954#22#06,1954,6,22
1/19/2017,20170119,2017#19#01,2017,1,19
1/28/2011,20110128,2011#28#01,2011,1,28
9/15/1994,19940915,1994#15#09,1994,9,15
4/8/2016,20160408,2016#08#04,2016,4,8
9/10/1999,19990910,1999#10#09,1999,9,10
4/14/2000,20000414,2000#14#04,2000,4,14
11/26/2014,20141126,2014#26#11,2014,11,26
5/30/2017,20170530,2017#30#05,2017,5,30
9/7/2012,20120907,2012#07#09,2012,9,7
1/12/2001,20010112,2001#12#01,2001,1,12
4/24/2014,20140424,2014#24#04,2014,4,24
12/24/2014,20141224,2014#24#12,2014,12,24
10/5/1956,19561005,1956#05#10,1956,10,5
6/17/2005,20050617,2005#17#06,2005,6,17
4/9/2011,20110409,2011#09#04,2011,4,9
7/1/2011,20110701,2011#01#07,2011,7,1
6/20/2008,20080620,2008#20#06,2008,6,20
3/19/2009,20090319,2009#19#03,2009,3,19
5/12/2006,20060512,2006#12#05,2006,5,12
9/16/1953,19530916,1953#16#09,1953,9,16
10/2/2016,20161002,2016#02#10,2016,10,2
6/6/1986,19860606,1986#06#06,1986,6,6
7/3/2010,20100703,2010#03#07,2010,7,3
9/20/2007,20070920,2007#20#09,2007,9,20
9/15/2008,20080915,2008#15#09,2008,9,15
8/1/2002,20020801,2002#01#08,2002,8,1
6/6/1996,19960606,1996#06#06,1996,6,6
5/24/1989,19890524,1989#24#05,1989,5,24
4/22/2011,20110422,2011#22#04,2011,4,22
9/24/2015,20150924,2015#24#09,2015,9,24
9/24/1993,19930924,1993#24#09,1993,9,24
11/13/1998,19981113,1998#13#11,1998,11,13
12/18/2002,20021218,2002#18#12,2002,12,18
1/1/1969,19690101,1969#01#01,1969,1,1
9/1/2006,20060901,2006#01#09,2006,9,1
12/13/2002,20021213,2002#13#12,2002,12,13
5/3/1990,19900503,1990#03#05,1990,5,3
10/20/2016,20161020,2016#20#10,2016,10,20
9/15/2005,20050915,2005#15#09,2005,9,15
9/9/2002,20020909,2002#09#09,2002,9,9
3/4/2015,20150304,2015#04#03,2015,3,4
11/21/2003,20031121,2003#21#11,2003,11,21
3/5/1993,19930305,1993#05#03,1993,3,5
5/26/2001,20010526,2001#26#05,2001,5,26
4/9/1932,19320409,1932#09#04,1932,4,9
3/6/2014,20140306,2014#06#03,2014,3,6
9/27/2013,20130927,2013#27#09,2013,9,27
